,Unnamed: 0,Unnamed: 0.1,Creation date,Business Id,Location name,Group Id,Group name,Business Code,Address,City,Platform,Deleted,Timezone,Rating,Response date,template_used,Recommended,Response date.1,template_used.1,Number of comments,Rating.1,Response date.2,Langues,Content_clean,Response_clean,Response_1_clean,Response_2_clean,scores,compound,comp_score,Topic,topic_ntm,topic,topic label
186,265,265,2022-05-30 9:14:31,565c8ee33440cd4d3f4819d7,Castorama,2216.0,OCCITANIE,1471,3 avenue De Toulouse,L'Union,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-06-01 9:49:05,,,,,,,,FRENCH,escro a fuir commande cuisine 18janvier 2022 livraison 180 frais livraison date prévu mi février là 30 mai reçu cuisine plusieurs étape car batailler manque encore certain produit incapables trouver solution cache derrière leurs fournisseurs pire quil disent moment livraison lon voit manque article meme attisant engager livraison dont conflit car coup contrats annuler décaler rendent compte leurs travail inefficaces a répercutions triste magasin conçurent comme leroy merlin ponctuels 10fois plus rapide très déçus mi étoile car obliger publier sinon mi 14 étoile,bonjour nader sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée xavier castorama,,,"{'neg': 0.209, 'neu': 0.724, 'pos': 0.067, 'compound': -0.8978}",-0.8978,tres negatif,2,Vendeurs,2,livraison
195,274,274,2022-05-30 7:39:15,565c8ee43440cd4d3f481a05,Castorama,2216.0,OCCITANIE,1446,2 route De Francazal,Portet Sur Garonne,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-30 10:46:12,,,,,,,,FRENCH,médiocre nai jamais vu service aussi mou vie 1h30 trouver brouette retirer marchandise final dire quils lont parce soidisant ça marche organisation pourrie remettrai plus pieds magasin,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée laisse recontacter magasin via message lapplication google cordialement alizée castorama,,,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.7351}",-0.7351,tres negatif,2,Vendeurs,2,livraison
261,387,387,2022-05-28 22:29:35,565c8ee53440cd4d3f481a2f,Castorama,2215.0,NOUVELLE AQUITAINE,1460,10 rue Turgot,Niort,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-29 9:35:06,Avis remonté,,,,,,,FRENCH,commande faite chez castorama lont perdu aucune communication devaient rappeler 2 fois jy retourne lundi 3 e fois connaître suite,bonjour jeancharles sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée benoit castorama,,,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.6486}",-0.6486,tres negatif,2,Vendeurs,2,livraison
287,427,427,2022-05-28 16:30:25,565c8ee33440cd4d3f4819d7,Castorama,2216.0,OCCITANIE,1471,3 avenue De Toulouse,L'Union,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-28 22:20:24,,,,,,,,FRENCH,magasin très mal organisé très mal rangéavec personnel incompétent vraiment déconseille magasin cest décevant très cordialement,bonjour nora sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée xavier castorama,,,"{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.8514}",-0.8514,tres negatif,1,Vendeurs,1,personnel
302,448,448,2022-05-28 15:27:22,565c8ee43440cd4d3f481a1d,Castorama,2214.0,EST,1431,rue Bernard Palissy,Vandoeuvre Les Nancy,GOOGLE_MY_BUSINESS,Yes,Europe/Paris,1.0,,,,,,,,,FRENCH,expérience jamais reçu ainsi pourtant bonne composition compréhensif poli vendeurs lèvent peine yeux répondre déplacent rien montrer si malheur sortir caisses main vides faites recadrer 3 fois parce sortez bonne sortie tout plus poli courtois cest lironie si doute monsieur dame période faste terme demploisi commerce convient temp changer,,,,"{'neg': 0.194, 'neu': 0.713, 'pos': 0.093, 'compound': -0.6025}",-0.6025,tres negatif,1,Vendeurs,0,Magasin
309,457,457,2022-05-28 14:49:10,565c8ee33440cd4d3f4819e7,Castorama,2215.0,NOUVELLE AQUITAINE,1459,ZAC De Belle Aire,Aytre,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2021-09-07 9:04:49,4-5 étoiles (sans commentaire) (5),,,,,,,FRENCH,drive devrait être lendroit où essaye fourguer m quon narrive vendre rayon cétait première fois drive dernière mauvaise image magasin coup première pergola bois reemballée grossomodo sans notice ni visserie vendeur bien demandé si cétait bon nest difficiles alors oui ça allait grossomodo larrivée montant très très fendu ben oui cest bois dira sav avant changer tout,bonjour philippe vandenhecke merci vivement davoir pris temp dévaluer magasin dit bientôt nouveaux projets,,,"{'neg': 0.145, 'neu': 0.814, 'pos': 0.041, 'compound': -0.6856}",-0.6856,tres negatif,2,Vendeurs,0,Magasin
323,476,476,2022-05-28 13:15:27,565c8ee63440cd4d3f481a71,Castorama,2213.0,OUEST,1426,route De La Côte De Nacre,St Nazaire,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-27 7:14:08,,,,,,,,FRENCH,sou couche bois noirci marque v 33 matthieu trouvé produit chez leroy merlin déçu car faites tout,bonjour christian bugeia semblez déçu nhésitez donc rencontrer véronique responsable déco lors prochaine visite trouvera sûrement solution adaptée satisfaction priorité a très bientôt mathieu castorama,,,"{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.6588}",-0.6588,tres negatif,1,Vendeurs,0,Magasin
330,485,485,2022-05-28 12:16:45,565c8ee63440cd4d3f481a83,Castorama,2215.0,NOUVELLE AQUITAINE,1430,avenue Des Portes De Feytiat,Feytiat,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-29 8:25:21,,,,,,,,FRENCH,très mal reçu dérange personnel très déçu,bonjour laurent roudier merci retour cependant souhaiterais savoir plus mécontentement donne adresse mail afin puissiez transmettre coordonnées téléphonique pouvoir échanger expérience but améliorer satisfaire mieux clientèle nadiabarbeyrat2castoramafr lattente retour souhaite bon dimanche nadia castorama,,,"{'neg': 0.641, 'neu': 0.359, 'pos': 0.0, 'compound': -0.7311}",-0.7311,tres negatif,1,Vendeurs,1,personnel
340,498,498,2022-05-28 11:18:53,565c8ee63440cd4d3f481a67,Castorama,2212.0,PARIS SUD,1413,4 rue De La Longueraie,Vigneux Sur Seine,GOOGLE_MY_BUSINESS,No,Europe/Paris,2.0,2022-05-28 13:16:26,,,,,,,,FRENCH,magasin dun autre âge enseigne laissée labandon mendicité parking personnes squattent concernant produits ca produits jardin très décevant carrés potagers mauvaise état mal étiquetés bref va retourner leroy merlin vers servonbrie,bonjour monsieur pris note commentaire invitons découvrir espace jardin extérieur où trouverez large variétés plantes fleuries darbustes toute équipe sengage quotidien accueillir plus grande sollicitude afin accompagner mieux projets bien cordialement nicolas castorama,,,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.8313}",-0.8313,tres negatif,1,Vendeurs,0,Magasin
367,535,535,2022-05-28 8:24:10,565c8ee53440cd4d3f481a2f,Castorama,2215.0,NOUVELLE AQUITAINE,1460,10 rue Turgot,Niort,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-28 13:20:31,Attente,,,,,,,FRENCH,drive catastrophe attendez entre 20 30 min quelquun daigne apportez commande cela arrivé deux fois excuse a impression déranger,bonjour aurelia f navré sentiment suite visite sachez faisons maximum rendre disponible tous ca merci davoir pris temp partager avis jespère expérience meilleure lors prochaine visite a bientôt lolita castorama,,,"{'neg': 0.312, 'neu': 0.532, 'pos': 0.156, 'compound': -0.6892}",-0.6892,tres negatif,2,Vendeurs,2,livraison
417,613,613,2022-05-27 17:48:57,565c8ee73440cd4d3f481a85,Castorama,2213.0,OUEST,1509,avenue D'Harcourt,Fleury Sur Orne,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-28 6:23:21,Mauvaise expérience ,,,,,,,FRENCH,personnel très désagréable petite jeune hautaine parle mal,bonjour léa groult remercions davoir pris temp partager remarques sincèrement désolés lexpérience établissement réitérant toutes excuse souhaitons bonne journée alexandra castorama,,,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.6901}",-0.6901,tres negatif,1,Vendeurs,1,personnel
420,618,618,2022-05-27 17:35:07,565c8ee43440cd4d3f481a21,Castorama,2211.0,PARIS NORD,1508,Les Vergers De La Plaine,Chambourcy,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-29 7:09:08,Pas reproduire,,,,,,,FRENCH,très déçu castorama chambourcy naviguant site internet castorama maperçois magasin chambourcy a stock magasin produit désiré jappelle avant déplacer massurer stock donne référence produit interlocuteur massure quils stock important produit lorsque jarrive magasin mannonce quil nont produit stock insistant peu responsable cour matériaux comprend stock site internet magasin jour résultat 1h30 allerretour perdu comble cest attendant tour caisse vois deux personnes devant subissent problème magasin a éviter moins vouliez perdre temp,bonjour jonathan sincèrement désolés désagrément comprenons parfaitement mécontentement souhaiterions savoir plus quant visite nhésitez prendre contact frederic lors prochaine visite merci maintenir confiance cordialement nicolas castorama,,,"{'neg': 0.15, 'neu': 0.781, 'pos': 0.069, 'compound': -0.6606}",-0.6606,tres negatif,1,Vendeurs,0,Magasin
448,654,654,2022-05-27 15:22:29,565c8ee63440cd4d3f481a7f,Castorama,2218.0,SUD,1511,3 rue D'André Bardon,Marseille,GOOGLE_MY_BUSINESS,No,Europe/Paris,3.0,2022-05-30 6:32:04,Remerciement,,,,,,,FRENCH,a recherche dun rayon jardin après seulement quelques jours chaleurs pauvres plantes semblent arrosées plus quelques petits manquement sécurité dommage négliger magasin ainsi,bonjour pierre merci davoir pris temp laisser avis bonne journée virginie castorama,,,"{'neg': 0.377, 'neu': 0.575, 'pos': 0.048, 'compound': -0.8834}",-0.8834,tres negatif,1,Vendeurs,0,Magasin
458,666,666,2022-05-27 13:55:46,565c8ee53440cd4d3f481a35,Castorama,2217.0,AUVERGNE RHONE ALPES,1454,rue Denis Papin,Bourgoin Jallieu,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-27 15:20:38,Pris en compte,,,,,,,FRENCH,catastrophe magasin étoile cest déjà bien tropune livraison a coûté 70 euro heures dattente réceptionner tout ça plus avoir nouvellepas sérieux pro vais marrêter là car pourrai écrire pavé magasin,cher client remercions davoir pris temp écrire sincèrement navrés désagrément dont fait lobjet prion excuser manquerons tenir compte remarques bonne journée emmanuelle castorama,,,"{'neg': 0.129, 'neu': 0.793, 'pos': 0.078, 'compound': -0.6184}",-0.6184,tres negatif,2,Vendeurs,2,livraison
462,672,672,2022-05-27 13:21:16,565c8ee53440cd4d3f481a55,Castorama,2217.0,AUVERGNE RHONE ALPES,1424,route Du Paisy,Dardilly,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-28 12:18:11,Excuses,,,,,,,FRENCH,point collect encore drive éviter toute urgences si voulez perdre 1heure vie honte,bonjour merci avoir informé problème allons prendre mesures nécessaires afin désagrément reproduise plus présentons toutes excuse gêne occasionnée cordialement mariecapucine castorama,,,"{'neg': 0.415, 'neu': 0.585, 'pos': 0.0, 'compound': -0.7269}",-0.7269,tres negatif,2,Vendeurs,2,livraison
473,689,689,2022-05-27 12:27:59,565c8ee63440cd4d3f481a81,Castorama,2211.0,PARIS NORD,1506,11 boulevard De Grenelle,Paris 15,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-28 10:48:23,1-2-3 étoiles,,,,,,,FRENCH,extrêmement lent vendeurs désagréables mous incompétents,bonjour madame semblez déçue magasin équipes aimeraient savoir plus nhésitez donc rencontrer membre direction lors prochaine visite satisfaction priorité cœur partager proposer solution adaptée a très bientôt léquipe castorama,,,"{'neg': 0.765, 'neu': 0.235, 'pos': 0.0, 'compound': -0.8678}",-0.8678,tres negatif,1,Vendeurs,0,Magasin
478,696,696,2022-05-27 11:36:33,565c8ee53440cd4d3f481a2b,Castorama,2217.0,AUVERGNE RHONE ALPES,1466,ZAC De Champ Roman,St Martin D'Heres,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,,,,,,,,,FRENCH,aujourdhui porte placard miroir cassée accuse avoir cassé davoir bien vérifié alors faux aucun eboursemenr ni commande nouvelle porte,,,,"{'neg': 0.392, 'neu': 0.515, 'pos': 0.093, 'compound': -0.8202}",-0.8202,tres negatif,2,Magasin,2,livraison
558,809,809,2022-05-26 17:13:04,565c8ee53440cd4d3f481a55,Castorama,2217.0,AUVERGNE RHONE ALPES,1424,route Du Paisy,Dardilly,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-28 12:14:03,Excuses,,,,,,,FRENCH,impossible davoir renseignement téléphone bout 10 mn vendeur reprend communication ça coupeje recommence là bout plus 10 mn personne répond troisième tentative idem finalement jai renseignement moins 5mn téléphone autre enseigne dommage dommage,bonjour merci avoir informé problème travaillons actuellement problème afin désagrément reproduise plus présentons toutes excuse gêne occasionnée cordialement mariecapucine castorama,,,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.7896}",-0.7896,tres negatif,2,Vendeurs,2,livraison
563,816,816,2022-05-26 16:20:38,565c8ee43440cd4d3f481a09,Castorama,2216.0,OCCITANIE,1442,route De Ganges,St Clement De Riviere,GOOGLE_MY_BUSINESS,No,Europe/Paris,1.0,2022-05-27 6:35:00,Avis remonté,,,,,,,FRENCH,vendeuse rayon cuisine absolument désagréable nont personnel répondre client car occupés projets revoyez considération client cherchent juste conseil,bonjour alan sincèrement désolés cette expérience magasin comprenons mécontentement prenons compte commentaire afin remonter service concernés bonne journée romain castorama,,,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.6115}",-0.6115,tres negatif,1,Vendeurs,1,personnel
