,City,Content_clean,comp_score,topic,topic label
94,Vigneux Sur Seine,très bon castorama personnel agréable,positif,1,large choix
95,Vigneux Sur Seine,personnel aimable magasin propre bien rangé,positif,1,large choix
96,Melun,personnel absolument aimable,positif,1,large choix
99,Les Pennes Mirabeau,15 min dattente rdv projet cuisine parce monsieur soccupe client nont rdv arrivés après doit avoir logique celle satisfaction client plus globalement rayon notamment côté droguerie a limpression vendeurs fuient client jai posé question dame a interrompue appel puis partie renseigner collègue avant revenir ça donne envie jai repéré dont jai besoin vais aller peu plus loin,positif,2,personnel
100,Melun,utiles,positif,2,personnel
101,Mandelieu La Napoule	,sans faute laura effet professionnalisme écoute rendezvous cela mérite signaler,positif,1,large choix
104,Henin Beaumont,tiens a remercier audrey rayon luminaire a pu commander poignés dun autre magasin car déjà venu plusieurs fois autres vendeurs disaient débrouiller daller englos faut signaler quand personne professionnel très bien,positif,1,large choix
109,Antibes,5 étoiles personnel drive car fait mieux retrouver produits commande drive malgré cela stock magasin nétant apparemment jour 9 paquets lamelles murales chênes nétaient présentes venions frejus donc 5 étoiles employés 3 étoiles casto coup là,positif,1,large choix
110,St Martin D'Heres,magasin propre bien aérée trouve tout grand parking garer,positif,1,large choix
114,Fresnes,cest très bien trouve tout plus cest ouvert dimanche jy vais tout temp quand jai besoin a trop monde vendeurs très compétents renseigne voulez,positif,1,large choix
116,Cormeilles En Parisis,personnel compétent,positif,1,large choix
119,Fleury Sur Orne,bons conseils,positif,2,personnel
126,Barentin,bien proximite top rapport qualitéé prix,positif,1,large choix
129,Colmar,équipe top recommande,positif,2,personnel
136,Vitrolles,bon accueil personnel compétent,positif,0,personnel
141,Angouleme,personnel souriant disponible,positif,1,large choix
142,Vélizy Villacoublay,bonjour depuis 19 mai date passage d attente appel artisan mandaté service pose 9 appelset toujours rien jour désespérons pasj déjà prénom kevinalors sait,positif,1,large choix
147,Bayonne,très agréable,positif,1,large choix
150,Haubourdin,magasin bricolage où lon trouve tout conseils matériel matériaux bon ok toujours tout cest jeu a toujours solution,positif,0,personnel
158,Saint Maximin,acheté salon jardin vendredi 27 mai 2022 récupéré lendemain point retrait deuxième étoile personne aidé chargé colis très pro hormis ceci avis vaudrait quune étoile raison suivante lors montage salon jardin résine dimanche 29 mai 22 maperçois quun dossier défectueux fissure tranche supérieure jappelle sav magasin bout 18 minute dattente sans réponse décide dy aller directement place dit personne charge service partie impeccable lendemain dès louverture rappelle sav bout 11 minute dattente jentends message vocal préenregistré merci appel fin dappel retente chance demandant cette fois service commande histoire davoir quelquun bout 8 minute dattente scénario bien magasin sympa doute vouloir faire allerretours répétition lespoir trouver quelquun puisse maider poste jamais davis coup jestime quacheter salon jardin neuf trouver pièce abimée rien pouvoir faire assez regrettable edit après insistance jai finalement pu joindre sav tout rentré lordre,positif,1,large choix
159,St Martin D'Heres,très bien reçu bien conseillé cette personne malgré fouillis rayon mal référencé dalles auto collantesbon produit facile prendre mainsmerci cette personne,positif,1,large choix
163,Rillieux La Pape,service après vente fermé grande partie semaine motif évoqué personnel lentreprise trouve salarié postes jai rabattre magasin bron drôle méthode cette direction passer ennuies voisin plus mentendre dire bron outils marque magasin netaient réparé après fin garantie sans proposé devi,positif,1,large choix
170,Bron,service retrait très mal organisé attendu près dune heure retirer 4 sièges lundi début daprès midi bravo mecs,positif,1,large choix
176,Villabè,passage achat cour matériaux cour bien entretenue retrouve chercher puisque rangement bien fait cest toujours plaisir venir magasin,positif,1,large choix
177,Nîmes,merci thibault conseils bien utile peinture,positif,2,personnel
182,Herouville St Clair,très bon magasin,positif,0,personnel
198,Mundolsheim,bon accueil bien renseigné,positif,0,personnel
200,Frejus,très belle rencontre jean claude soccupe vente cuisine personne top recommande,positif,1,large choix
201,Les Ulis,personnel competent bons produits,positif,2,personnel
202,Bèziers,beaucoup choix qualité conseillers lécoute bon conseil,positif,0,personnel
207,Roanne,moins cher,positif,1,large choix
212,Olivet,prix promo litigieux,positif,2,personnel
213,Nîmes,merci jérôme damien rayon chauffagede kong conseils sympa,positif,2,personnel
221,La Garde,cela fait années sers chez casto jadore magasin recommande tous personnel sympa écouteet lon trouve tout,positif,1,large choix
222,Lormont,quand demandons decouper moquette répond 16h30 ferme a 17h00 fait plus découpe 30 minute fermeture faut arriver plus tôt autre jour faut arriver combien temp avance avoir conseillers veulent faire travail,positif,2,personnel
229,Vigneux Sur Seine,bonne enseigne bricolage parfait dépanner souvent promo fin série couloir centrale seul petit point négatif manque nouveauté,positif,1,large choix
230,Paris 15,magasin propre personnelle service client,positif,1,large choix
232,Chennevieres Sur Marne,viens dacheter bbc rapport qualité prix difficile battre récupération retrait marchandise impeccable,positif,2,personnel
234,Le Cannet,nest toujours bon marché employés semblent perdus savent où trouver produits indiques stock dun magasin internet allée hélas fantaisiste lenseigne devrait revoir mi jour site internet stock magasins formation employés redonner sourire dommage car rapport qualité prix service baisse régulièrement depuis années peut mieux faire,positif,0,personnel
235,Saint Maximin,tiens remercier olivier service materiaux btp conseils surtout professionnalisme franchement vais là ba monsieur recommandations demandez tous olivier,positif,2,personnel
237,Thillois,équipe agréable grand choix produits proposés,positif,1,large choix
239,Roanne,grand magasin beaucoup choix equipe agréable serviable,positif,1,large choix
247,Marseille,parce a toujours vendeur proximité conseille trouve presque toujours tout besoin magasin agréable bien rangé,positif,1,large choix
253,Henin Beaumont,adore enfin vendeur top,positif,2,personnel
257,Viriat,magasin attractif choix article comme prix très agréable dy aller sachant lon veut comme recherche solution conseils parfois disponibilité article pèche demande si cela nest passage professionnels rasant stock activité souvent difficile trouver vendeur disponible loi succès,positif,2,personnel
264,St Marcel Les Valence,tres beau magasin beaucoup choix accueil agréable,positif,1,large choix
266,La Garde,bons produits vendeurs toujours très sympa serviables,positif,2,personnel
268,Villenave D'Ornon,marqué ouvert jour dimanche 30 septembre 2018 voir photo alors cest fermé perte temp 20kms fois 2 rien modifié avis mi jour jours fermeture merci prochains,positif,1,large choix
273,Orvault,large choix peinture intéressant a voir,positif,2,personnel
274,Lille,cest toujours plaisir daller magasin car toujours bien accueilli lon besoin dun conseil outils brico simplement retirer colis jhésitais depuis moment prendre pommeau douche anti calcaire économie deau jai bien conseillé vendeur merci,positif,1,large choix
275,Nîmes,passé acheter peinture jai bien renseigné thibault donné super conseils merci encore,positif,2,personnel
276,St Martin D'Heres,deception comme chaque fois magasin ideal quand a besoin rien particulier conseils regardez internet mieux renseigné quand vois petite structure comme touvet chez trouve plupart temp netait disponible casto ça pose question conseille magasin,positif,2,personnel
281,Chambery,choix prix,positif,2,personnel
283,Dunkerque,jai bon vendeur carrelage bons conseils gentil jai apprécié comportement ainsi lextérieur monsieur aidé porter mettre voiture car cétait lourd seul point négatif cest réserver camionette internet compliqué temp tout faire tour partir cest plus 10 euro demi heure sinscrire simple,positif,2,personnel
284,La Garde,comme tous bien propre,positif,1,large choix
286,Vannes,sympa accueillant dirait personnel démotivé,positif,1,large choix
289,Angouleme,bon accueil personnel dispo tout renseignement,positif,0,personnel
292,Mundolsheim,cétait magasin préféré passé mode plus promo nétait disponible,positif,1,large choix
294,Vannes,cest comme tout peu cher,positif,1,large choix
295,Claye Souilly,mieux ranger personnel dispo,positif,1,large choix
296,Vannes,agréable magasin bricolage souvent bonnes affaire personnel lécoute renseigner,positif,1,large choix
297,Olivet,très beau magasin bien achalandé beaucoup choix trouvé tout dont besoin vendeurs là conseiller,positif,1,large choix
298,Bèziers,satisfaite achats conseils pro,positif,2,personnel
300,Bèziers,tres agréable accueil,positif,1,large choix
301,Bèziers,personne charmante découpe bois verre sébastien très pro très commerçant plaisir avoir type personnel,positif,1,large choix
303,Fresnes,trois caisses ouvertes 12 donc attente très longue vu quon samedi cerise gâteau caissière nai tout aimable,positif,1,large choix
310,Vannes,deux jours quon essaye deffectuer achats via internet cela marche conseillers lautre bout planète parlent visiblement moitié français suggèrent simplement changer navigateur rappeler plus désagréables casto cest zéro,positif,2,personnel
315,Bèziers,satisfaite achats léchange employés,positif,2,personnel
316,Bèziers,très satisfait linda plomberie cordialement sébastien,positif,2,personnel
320,Givors,personnel très aimable serviable très professionnel edouard,positif,1,large choix
322,Vandoeuvre Les Nancy,employés sympathiques efficace délais livraison très très long annoncé 2 semaines voilà déjà presque 1 mois toujours rienil faut être pressé faire terrasse,positif,2,personnel
325,Bèziers,très satisfaisant,positif,2,personnel
328,Herouville St Clair,vendeurs professionnels sympathiques cest agréable,positif,1,large choix
329,Marseille,nathalie maria rayon pergola personnes exceptionnelles gentillesse professionnalisme tout cela bonne humeur,positif,2,personnel
335,Antibes,service sm super réactif plus besoin dattendre heures téléphone personnel top,positif,1,large choix
338,Chennevieres Sur Marne,merci virginie stéphane retrait marchandise leurs professionnalismes leurs gentillesses,positif,1,large choix
344,Bèziers,satisfait rayon jardin conseils prodigué,positif,2,personnel
347,Bèziers,très satisfait achats,positif,2,personnel
349,Bèziers,satisfaite accueil casto,positif,0,personnel
355,Aubiere,lagent sest occupée serrure a très efficace sympathique 10min suffit magasin top,positif,1,large choix
357,Les Pennes Mirabeau,magasin agréable personnel accueillant,positif,1,large choix
360,Bèziers,achat miroir top conseil prix suite intervention animateur,positif,2,personnel
363,Les-Clayes-Sous-Bois,grand merci léquipe parquet conseils,positif,2,personnel
366,Givors,merci alain rayon jardinage renseignements savoir faire o top,positif,2,personnel
370,Aytre,obligé courir apres vendeurs avoir prix rayon vides prix affiché bof bof,positif,2,personnel
372,Niort,magasin cher caisses toujours bondées parking sert zone stockage gros nimporte quoi,positif,1,large choix
379,Vélizy Villacoublay,vendeur rayon électrique 55 caissière 05elle fait passer devant cliente veut mettre adresse facturenous rien demandé passer devant cette clienteje demandé être correcte poli proposaimable 05 commerçante 05nous quitté caisse aller a autre homme souriant sympa,positif,1,large choix
380,Chennevieres Sur Marne,très beau magasin bricolage décoration très bien achalandé vendeurs serviables compétents,positif,1,large choix
383,L'Union,magasin tout commercial 1300 dachat capables faire 10 pense quil faut éviter daller magasin aller plutôt castorama portet garonne très commercial arrangeant,positif,1,large choix
384,Paris 20,passée ya longtemps tousquit rengemen cuisine personnes renseigné vrai professionnel ça fait plaisir trouve gen comme ça parle bien scherazade jespère tromper nom merci a casto,positif,1,large choix
391,Aix En Provence,recommande,positif,1,large choix
394,St Jacques De La Lande,magasin propre beaucoup choix personnel prend temp conseiller,positif,1,large choix
403,Villenave D'Ornon,personnel conseille prend temp merci,positif,1,large choix
404,Melun,toujours bonne idée reste excessifs,positif,2,personnel
407,Nîmes,venus jour commander porte placard surmesures tres agréablement recus victoria a très bien conseillésun grand merci,positif,1,large choix
409,La Seyne Sur Mer,super magasin personnel toujours top renseigner aider,positif,1,large choix
419,St Jacques De La Lande,pleins produits tout genre niveau bricolage décoration tous goûts toutes qualités vendeurs compétents dautres moins,positif,2,personnel
421,Agen,bon accueil bcq choix matériel,positif,0,personnel
425,Bèziers,satisfaite,positif,1,large choix
430,Bèziers,super très satisfait,positif,2,personnel
431,Bèziers,très satisfait magasin peix qualité impeccable,positif,1,large choix
432,Bèziers,entièrement satisfaite casto,positif,1,large choix
438,Viriat,beaucoup choix magasin immense vendeurs compétents,positif,2,personnel
439,Olivet,attente caisse beaucoup client seulement 3 caisses ouvertes,positif,2,personnel
440,Bèziers,superbe équipe,positif,2,personnel
451,Bèziers,accueil service très satisfaisant lanimateur micro personne très serviable agréable,positif,1,large choix
460,Kingersheim,remercie audrey rayon jardin accueil conseils,positif,2,personnel
461,Annecy,prix mal affichés,positif,2,personnel
463,Coignieres,petite amélioration conseiller toujours occupé,positif,1,large choix
464,Bèziers,satisfait achats,positif,2,personnel
465,Bèziers,satisfaite laccueil achats,positif,2,personnel
467,Colmar,magasin personnel très agréable,positif,1,large choix
468,Dardilly,2h20 dattente découpe vitrage trois point revoir durgence horaires service découpe affichés devant point conseil impossible dobtenir linformation autrement dont ligne horaires affichés toute façon respectés fermeture 11h54 12h reouverture 14h15 14h affiché lamabilité voir répondre nest problème faut bien mange nest adapté lorsquon partage quil frustrant devoir attendre plusieurs heures,positif,1,large choix
470,Antibes,bonne expérience dialogue boîte mailrapide cest très pratique,positif,2,personnel
475,Chennevieres Sur Marne,très content service retrait marchandises personnel très serviable compétent,positif,1,large choix
477,Lormont,personnel serviable souriant,positif,1,large choix
480,Herouville St Clair,très bien conseillé vendeur fort aimable rayon électricité,positif,1,large choix
483,Marseille,bien achalandé personnel efficace sympathique,positif,1,large choix
484,L'Union,très beau magasin,positif,1,large choix
489,Nîmes,ravie laide précieuse david rayon électricité accompagnée travaux merci encore,positif,2,personnel
490,Nîmes,magasin sympa plus particulièrement david rayon électricité vendeur top lécoute gentil serviable compétent,positif,1,large choix
491,Bèziers,très content achats satisfait e magasin,positif,1,large choix
499,Marseille,moins moins choix prix hausse,positif,2,personnel
504,Les Pennes Mirabeau,trouve tout super rapport qualité prix,positif,2,personnel
508,Rillieux La Pape,bon accueil professionnalisme rdv,positif,0,personnel
509,Bèziers,satisfaite magasin,positif,0,personnel
520,Bèziers,merci linda gentillesse serviabilité conseils vue lachat dun sècheserviettes,positif,2,personnel
523,Poitiers,vendeurs forcément disponible quand savent répondre question posées magasin reste toujours impeu foutoir toujours rayon travaux,positif,1,large choix
528,Feytiat,nouveauté chez castorama maintenant cest 100 acompte payable commande magasin contre na changé cest tannonce 3 semaines délai trois mois après toujours commande sais si cest légal tout ca ça nest commerçants seule réponse lon a pu faire cest si pouvez payer quà prendre carte financement magasin bonne blague,positif,1,large choix
533,Orvault,très bien bon accueil client,positif,0,personnel
547,Olivet,franchement catastrophique compagnon venons 14h acheter télévision déjà vendeur charge rayon conseille contente dire quil faut bien regarder toute acheter aucun moment vient conseiller quand choisi disparaît rayon heureusement chef là appeler personne compétente merci laëtitia collègue a su conseiller aider choix moins 15mins honnêtement pense responsable su commencions perdre patience car a fait très belle réduction fois arrivé côté financement alors là nan parlant franchement acheter lamabilité rapidité parce là aimable respectueuse somme rester près dune heure côté financement demande papiers nest capacité expliquer comment fournir parce sachez rib faut absolument logo banque alors compagnon vend voitures sans financement na besoin logo franchement nimporte quoi dame nexplique rien quelle fait dû redemander vendeuse laëtitia réexpliquer choses franchement léquipe inadmissible incompétente si revenons dirigera toujours vers laëtitia collègue après allons service récupération produits manque bol télévision rentre véhicule demandons véhicule lenseigne attendu près 45mins sortie télévision qua 17h15,positif,2,personnel
553,La Seyne Sur Mer,personnel rayon porte nest disponible client faut implorer quils daignent montrer modèle porte jen fait lexpérience hier également a an certains devraient changer métier contre service cuisine très aimable compétant,positif,1,large choix
556,Antibes,magazin dedié bricoleurs maison bien organisé,positif,1,large choix
561,Niort,mention spéciale yann rayon sol gentillesse disponibilité conseils,positif,2,personnel
562,Brest,personnel agréable demande renseignement laisse débrouiller déplace,positif,1,large choix
564,Marsannay-La-Cote,nathalie super bien accueilli conseillère très compétente chaque fois jai affaire sav a su répondre besoins recommande,positif,1,large choix
566,Angouleme,magasin agréable personnel très serviable,positif,1,large choix
567,Perpignan,équipe point prix mal placé produits suivie,positif,2,personnel
568,Henin Beaumont,choix top aucune réservation cool quand habite loin a belle occase ben droit,positif,2,personnel
570,Mandelieu La Napoule	,bon vendeurs écoute,positif,0,personnel
571,Bron,commandes internet annulées sans motif nouvelle expérience hallucinante jour 1h30 attendre reprise meuble salle bain acheté chez bourgoin blague reprise fera uniquement décote repars meubleune usine gazon dirait quils donnent tous moyens pousser bout client nachèterai plus clou chez,positif,1,large choix
580,Le Cannet,ok,positif,1,large choix
585,L'Union,bon courage si essayez prendre rendezvous téléphone,positif,0,personnel
587,Avignon,rapport qualité prix,positif,2,personnel
592,Angouleme,juste mega jaime top chez top,positif,2,personnel
595,Chennevieres Sur Marne,très souriante professionnelle,positif,1,large choix
600,Vannes,grand magasin beaucoup choix court matériaux aussi prix reasonable,positif,2,personnel
602,Levallois-Perret,sympathique petit magasin permet davoir vaste choix produit grâce commande 24h,positif,2,personnel
603,Levallois-Perret,personnel sympathique bons conseils,positif,2,personnel
604,Avignon,merci douvrir jour férié faut assurer personnel jour longues minute dattente carton milieu rayon très compliqué davoir information clôture pkoi livraison magasin a plus 100 quand cest gratuit commandant site internet,positif,1,large choix
605,Chennevieres Sur Marne,satisfait service drive castorama stéphane agréable professionnel recommande service,positif,1,large choix
609,Aytre,1 heure retirer 8 chaise jardin va falloir apprendre lira bon retrait embaucher 4 personnes attendre,positif,0,personnel
611,Lormont,3 mois a acheté portail aucune nouvelle depuis appelle dit rappelle rien honteux,positif,1,large choix
616,Henin Beaumont,passés magasin samedi dernier choisir salle bain tiens vraiment remercier nathan a aider conseiller z choix meubles autres perle vendeur comparaison mr comptoir sdb catastrophe alors merci avoir fait changer davis lenseigne,positif,2,personnel
617,Frejus,bonjour somme belgique passé 2 fois mai 2022 magasin bien aéré trouve tout principal personnel top bravo,positif,1,large choix
621,Aubiere,très bien conseillés besoin renseignements quon pouvait mettre escaliers ciment carl vendeur a expliqué patiemment technique béton minéral merci,positif,1,large choix
628,St Martin D'Heres,cest très bon magasin bricolage,positif,0,personnel
633,Marsannay-La-Cote,jai mi 2 étoiles parce magasin énorme quon trouve tout sauf quon cherche bon contre conseillers mecs oui cétaient mecs renvoient systématiquement confrère général impossible trouver voit clairement quils ny connaissent rien nessaient donner limpression sintéresser demande vraiment dommage être plus spécifique javais amené flexible marque grohe conseiller dit direct na ça ici grohe non connais cest peu triste quand vois plein dobjets marque déambulant rayon plomberie jai calé laffaire dernière fois mets pieds làbas,positif,0,personnel
634,Nîmes,virginie tres competente chez karcher donne bonnes info,positif,2,personnel
635,Claye Souilly,magasin bien entretenu nombreux vendeurs présent rayon renseignements etc courtois service client seul hic passage caisse très long malgré peu client,positif,1,large choix
641,Villemomble,venus aujourdhui rallonge machine laver peu perdu monsieur venu demander si besoin daide bien aidé trouve ça très pro recommande,positif,1,large choix
642,Nîmes,merci damien secteur salle bain écoute conseils,positif,2,personnel
643,Nîmes,grand merci vendeur damien conseils salle bain,positif,2,personnel
645,Kingersheim,superbe accueil,positif,0,personnel
648,Marseille,super vendeur top promo top recommande,positif,2,personnel
652,Vitrolles,magasin bien achalandé personnel aimable professionnel,positif,1,large choix
655,Bèziers,très bien bon conseil vendeur plonberie,positif,0,personnel
656,Aix En Provence,très bien achalandé beaucoup personnel compétents poser question plus,positif,1,large choix
657,Barentin,bravo équipe casto pro sympa rapide,positif,1,large choix
665,Paris 15,vendeur disponible bons conseils,positif,2,personnel
668,Villabè,visite devi dressing très bon conseiller mathis a pris temp réaliser projet 3d professionnalisme écoute disponibilité ravis résultat,positif,0,personnel
670,Bèziers,très satisfait achats récurrents chez castorama béziers,positif,2,personnel
674,Bèziers,satisfait laccueil renseignements magasin trouve tout quil faut animateur micro très sympa,positif,1,large choix
676,Paris 18,beaucoup compétences général magasin quand commande fil électrique mois demi avant travaux électricité reçoit commande sans fil électrique 25 pose question ponpon quand acceuil narrive joindre livraison narrive joindre responsable électricité laccueil nouveau arrive joindre responsable électrique raccroche jusquà 6 fois,positif,1,large choix
678,Bèziers,satisfait comme toujours tant artisan top batinnov34,positif,2,personnel
683,Lormont,très beau magasin belle déco ça donne envie faire travaux prix élevés dommage,positif,1,large choix
685,Bèziers,tres satisfait magasin conseils personnel très sympathique,positif,1,large choix
686,Viriat,choix très cher,positif,2,personnel
687,Bèziers,poele a bois vendu linda trés content conseils merci professionnalisme,positif,2,personnel
689,Dardilly,très bien personnelle agréable,positif,1,large choix
692,Feytiat,magasin assez propre personnel souriant lécoute,positif,1,large choix
694,Merignac,très grand espace enormement choix matériel bricolage personnel très agréable serviable,positif,1,large choix
696,Bron,choix conseils qualité qques soucis approvisionnement justifiés,positif,2,personnel
701,Henin Beaumont,variété tous prix bien situé,positif,1,large choix
713,Chennevieres Sur Marne,accueil chaleureux léquipe proposé aide charger voiture merci interlocuteur stéphane,positif,0,personnel
714,Lormont,vendeurs dexcellents conseils casto rayon bien achalandés recommande,positif,2,personnel
717,Vigneux Sur Seine,stock site jour fais 10km venir dit produit marqué stock 2 unités nest plus référencé magasin seule personne croisée jour là soccupait seule rayon sol carrelage quincaillerie menuiserie vraiment désolé recommande daller voir chez concurrence car produit nest plus catalogue vais castorama créteil produit marqué stock 3 unités a bien 3 unités rayon produit donc bien catalogue manque professionnalisme dhonnêteté magasin nuit clairement marque castorama préférez faire quelques kilomètres plus être sûr davoir produits,positif,1,large choix
718,Le Cannet,personnel tres accueilant propre,positif,1,large choix
719,Le Cannet,sympa réception réactive vide relativement vite,positif,1,large choix
723,Poitiers,après avoir acheté parquet commander plinthes devaient arrivées 15 plus tard 3 semaines plus tard sm plus loin demande prendre rdv récupérer dites plinthes jour rdv 1h avant coup fil a erreur 5 paquets commandés seul arrivé voilà attends quand réclame service apv hauteur bien a personne vendeur vendeuse débordé renforcer collègues réponse nôtre rayon replacer meubles car aucune certitude date attendant client paye,positif,1,large choix
725,La Garde,excellent sauf sav ainsi application nulle nest tout point perte temp facturez plus loue camion déjà réserve leurs crédences abîmées gondolées faut faire attention avant payer leurs plan travail idem super castorama revoir système,positif,1,large choix
729,Bondues,merci super responsable laccueil céline service irréprochable super accueil bâti,positif,0,personnel
731,Dardilly,personnel sympatique disponible compétent devi dressing,positif,1,large choix
738,Avignon,toujours tres bon acceuil,positif,0,personnel
739,Angouleme,enseigne qualité vendeurs lécoute client bons conseils trouve tout bricolage recommande magasin,positif,2,personnel
740,Poitiers,cest lun magasins bricolage proximité préférée mal choix puis vendeurs assez accessibles,positif,2,personnel
742,Aix En Provence,très bonne équipe drive,positif,2,personnel
745,St Marcel Les Valence,grande surface dédiée bricolage agréable vaste trouve tout,positif,1,large choix
751,Haubourdin,beaucoup choix vendeurs conseillent bien heureusement car trouver certains produit signalétique approfondie,positif,2,personnel
760,Levallois-Perret,très beau magasin personnel très agréable retournerai,positif,1,large choix
762,St Nazaire,ouvert dimanche jamais rupture parfait,positif,1,large choix
763,Marsannay-La-Cote,personnel disponible compétent très agréable,positif,1,large choix
773,Bèziers,super magasin jai chance tomber sébastien a grandiose découpe bois grand merci sébastien,positif,1,large choix
781,Villabè,service client service commande réponde jamais téléphone décroche puis raccroche délai livraison faute bien castorama tout respecté vraiment a fuire,positif,1,large choix
782,Viriat,ça manque poil dénergie magasin comme tout monde payé lance pierre rassure cest presque partout pareil,positif,1,large choix
786,Villemomble,trouve tous manque caisse ouverte,positif,1,large choix
789,Roanne,magasin bien tenu personnel sympa bons conseils,positif,2,personnel
793,Nantes,très bien accueilli fourni,positif,1,large choix
796,Villabè,comme lindique slogant trouve tout chez castorama nhésitez demander conseil collaborateurs car sympas bons conseille,positif,2,personnel
797,Bondues,grand merci thomas sol conseils,positif,2,personnel
798,Lattes,très intéressantchoix matériaux équipements personnel compétentet lécoute recommande,positif,1,large choix
800,Besancon,vendeur très sympathique auquel jai bonnes indication lachat escabeau contre devait trouver lon met repose sol gomme noir depuis moins deux an nai jamais coup fil,positif,1,large choix
811,Paris 20,personnel top disponible bon conseil très rapide,positif,0,personnel
819,Paris 15,facile acces rapide retrait drive,positif,1,large choix
822,Perpignan,très bonne expérience au rayon salle bain conseiller très sympathique pro,positif,1,large choix
824,Gonfreville L'Orcher,lors venu casto havre rencontré thierry suivi projet sachant fermeture a accompagner jusquau chargement mohamed aider charger sympathie quitte finir plus merci énormément bientôt,positif,2,personnel
828,Creteil,anais rayon carrelage salle bains a magnifiquement reçuelle a sen aigu service clientcest plaisir,positif,2,personnel
831,Villemomble,aimable tout employés malpoli nont envie travailler,positif,1,large choix
833,Le Mans,déplace dimanche acheter marchandises repars sans rien car personne charge rayon navait linfo souhaitais personne quelle a contacte téléphone non plus mot laisse rappelé semaine après toujours rien aucune réponse mail réclamation vais surement avoir réponse fois promo passée stock vide,positif,1,large choix
837,Mundolsheim,personnel compétant écouteil faudrait juste revoir pièces détachées article vendus autrement bonnes références stock promos,positif,1,large choix
842,Antibes,bon accueil,positif,0,personnel
845,Merignac,magasin vaut détour contre comme beaucoup magasins problème marquage prix manque bornes prix,positif,2,personnel
853,Nîmes,ouvert dimanche jusquà 14h dépanne bien,positif,1,large choix
854,Herouville St Clair,facile daccès pratique,positif,1,large choix
860,Bèziers,chance tomber audrey cuisine tant commercialement techniquement a su guider compétence gentillesse non feinte recommande,positif,1,large choix
866,Annecy,laccès magasin facile très facile stationner véhicule magasin peu sombre allées étroites souvent difficile trouver lon cherche revanche choix assez important conseil qualité,positif,0,personnel
872,Niort,grand merci éric chef rayon jardin très sympa lécoute client,positif,1,large choix
873,St Martin D'Heres,grand merci élodie accueil cest compétences recommande,positif,0,personnel
881,Chalon Sur Saone,magasin bricolage bon marché,positif,0,personnel
