,City,Content_clean,comp_score,topic,topic label
120,Vannes,hôtesse très accueillante rayon jardin sinon toujours chose top partie enlèvement colis,negatif,2,personnel
132,Bourgoin Jallieu,retard commandes commandes incomplètes car redistribuées plusieurs client aucun geste commerciale service après vente raccroche nez très longue queue accéder service après vente finalement raison plus commander autant possible amazon,negatif,0,stock
137,Le Mans,équipe bra cassés fou a jamais vu ça deux heures dattente entre retrait commande internet raté retrait marchandises a pris heurevraiment justes incompétents possible grand merci minlin seul magasin gère,negatif,0,stock
146,Nîmes,recommande tout castorama personnel très mal organisé a fait attendre 2h nest façon parler final savoir quoi parle commandé bris vue personne ny connaît rien a fait livrer mauvais a payé beaucoup plus chère erreur a perdu temp travaux rien personnel incompétent sympathique si choix aller ailleurs,negatif,2,personnel
169,Le Mans,viens barbecue weberil a différents barbecue rond weber présentés 1 47cm1 545cm1 57cmcelui 545 mintéresse rien aucuns carton barbecueque 47 57cest grave jai trouvé ailleurs,negatif,0,stock
171,Pierrelaye,fait 50 km aller 50 retour rien cherchait pelouse synthétique rouleau internet vu quil restait 41 mètres pierrelay 95 fallait 4 mètres arrivés place seul centimètre réponse vendeur internet stock mi jour cela a fait rager comment géré magasin a til pilote lavion bravo gérant magasin très déçue ira leroy merlin,negatif,0,stock
180,Lormont,impossible joindre téléphone50 minute entendre boucle pub need help vais être obligé déplacer savoir où commande suite précédent message déplacé magasin 19 mai savoir où commande a pu donner réponse a pris coordonnées rappeler sou 24 48h jattends toujours 30 mai jessaye rappeler castorama après 34mn 56s dit merci appel ça raccroche vraiment inadmissible contre chèque presque 1500e a luibien encaissé,negatif,0,stock
183,Cormeilles En Parisis,difficile trouver conseillé peinture lors passage tout dont javais besoin stock,negatif,1,rayonnage
190,Lattes,vendeurs clim très pro merci jean marc après achat clim 650 propose faire carte 9 bénéficier dun chèque cadeau 30 prochains achats pensant faire affaire jarrive laccueil changement dambiance sen dérange personne discussion personne fort désagréable continue quand dit recevrais bon dachat mail aujourdhui veux profiter bon sauf ça finalement 5 prochain achat a savoir naurais jamais adhéré cette carte jai bien compris dérangé lacceuil question terminer cette enseigne,negatif,0,stock
209,St Nazaire,certains membres personnel très coopératif dommage,negatif,2,personnel
215,Roissy En France,service mise dispo catastrophique 1h dattente récupérer 3cartons carrelage a éviter,negatif,0,stock
217,Les Pennes Mirabeau,mauvais,negatif,0,stock
224,Annecy,achat dun parasol 2x3 dun pied parasol lesté adapté conseils dune vendeuse malheureusement pied nest assez lourd parasol senvole moindre vent cela nécessite maintenant lachat dun autre pied déçue mécontente achat,negatif,0,stock
231,La Seyne Sur Mer,insatisfait,negatif,0,stock
236,Poitiers,jour où arrivez avoir castorama poitier téléphonec quoi principe répondre réponse réponse castorama vraiment risible déplacé magasin problème edt technique castoramale problème simplement manque personnel a ordre répondre téléphone dixit salariésalors arrêtez prendre gen andouilles,negatif,0,stock
240,Melun,jai commandé quoi faire dressing 9 mai tout 20 mai 29 mai toujours rien juste caisson espère geste commercial quand tout,negatif,0,stock
242,Cormeilles En Parisis,service livraison domicile mensonger laissé ba surtout bon jour ni bonne heure étoile paceque choix pire livraison,negatif,0,stock
249,Cormeilles En Parisis,dommage magasin réponde jamais téléphone,negatif,2,personnel
252,La Seyne Sur Mer,rayon plomberie très peu achalandé beaucoup darticles manquant,negatif,2,personnel
291,L'Union,chef trop mal élever exécrable parle mal castorama lunion tout pouris a revoir personelle accueil 0 michael chef trop mal polie donne envie dy travailler,negatif,2,personnel
333,Quimper,jai ramené lot parquet vinyl car tous coin cassés manquait juste 15m2 finir modèle netait plus disponible fait payer plus cher autre modèle 58 perdus sans compter temp perdu km vendeur resté sourd condescendant narrive joindre service aprèsvente plus jamais chez casto,negatif,0,stock
343,Haubourdin,jai commandé salle bain chez castorama manque plan toilette harmon commande durée 2 semaines recevoir voilà bientôt 2 mois jattend quand jappelle service denglos rien mest apporté comme information complémentaire quand signale quon va rappeler ceci nest jamais fait service client déplorable parole mensongères vendre aujourdhui jai meuble peux mettre double vasque voulions continuer acheter chez travaux maison ceci dernier achat chez castorama,negatif,0,stock
353,Thillois,alors castorama cela va faire juste semaine appelle tous jours personne répond téléphone dommage loupez vente portail,negatif,0,stock
378,Terville,plus plus déçu vendeurs peutêtre tous nont lair très investi stock affichés site généralement faux rien nest fait satisfaire client,negatif,0,stock
401,Terville,accueil très correct dommage très peu place vider complet bon sadapte cariste correct a steph belette,negatif,2,personnel
413,Chalon Sur Saone,utile ouvrir jour férié sil ny a personnel servir client attendus 30 min bac a sable jamais vu prêt revoir dommages prochain achat prévu salle bain iron bricoman,negatif,0,stock
435,Chambray Les Tours,très déçue demande table jardin vendeuse dit quil a plus stock peut arriver permets demander celle lexpos répond peux vendre car après faut paie personne plus 30 min remonter lors réception cest honte cherche voir quel délais commande apparemment elles na besoin ca propose autre chose coup jai laissé 8 chaise lustre jai dépenser 1500 chez concurrents,negatif,0,stock
442,Nantes,sav incompetent discours appels telephoniques information différentes castorama fait tout changer produits defectueux décevant si gde chaine iron voir ailleurs prochains achats cest noterez joli retour personnalisé cet avis vaste plaisanterie courrier recommandé envoyé mar aucune réponse mail fait mar aucun retour service client inexistant probleme mar 2022 aujourdhui fin mai aucune nvlle malgré courriers recommandés mail service client relance sav castorama beaujoire sympa casto,negatif,0,stock
446,Terville,ça fait semaine essaie joindre service suivie commande terville transférer service ça réponds jamais article devrait être arriver samedi dernier personne a prévenu non plus donc gros a payé 249 sais rien super service client,negatif,0,stock
453,Bron,personne réponds téléphone jai obligé déplacer magasinet stock faux plus certains vendeurs bien commercial jirai chez leroy merlin maintenant,negatif,0,stock
459,Mundolsheim,venu lachat dune piscine 18 pièces stock introuvable vendeurs fait attendre plus dune heure magasin grand père 70 an présent cest inadmissible faire attendre personnes âgées aussi longtemps final propose commande sans geste commercial,negatif,0,stock
485,Antibes,magasin immense peu pratique puisque réparti plusieurs bâtiments totalement déshumanisé puisquil impossible trouver vendeur rayon concerné temp dattente insupportable caisse,negatif,1,rayonnage
496,Marseille,horreur impossible joindre,negatif,0,stock
498,Jouy Aux Arches,personnel très sympa professionnel quel galère avoir quelquun téléphone personne décroche quand parvenez avoir quelquun bascule poste répond peux déplacer magasin jai toutes peines avoir renseignement dommage,negatif,2,personnel
502,Lormont,personnel magasin poli accueillant contre cour matériaux saturée seule caisse fonction malgré affluence importante étiquetage absent complètement farfelu parlons bqui règne peu partout rien nest rangé tout vrac vrai scandale,negatif,2,personnel
513,Poitiers,10 avril jai payé service projet clé main changement baie vitrée fissurée après multiple appels jai enfin visite dun artisan plus deux semaines après avoir pris service depuis silence radio personnes téléphone mail service zéro a fuir,negatif,0,stock
531,Villenave D'Ornon,compliqué mettre note magasin nest géré moment cest bien magasin précisément vendeurs responsables cherché proposé solution soucis récurrent castorama jai fait limoges angoulême lormont mérignac ça résout rien gestion totalement aberrante côté plaque cette chaîne magasin si doi reposer seule fois pieds castorama ici particulièrement rayon carrelage exemple comptez nombre place voiture élec comparez place véhicules long largecest simple 20 élec moyenne pourbé 0 systématiquement mecs sièges pensés a pouvoir recharger tesla quand feront tour magasins liquidateurs parce quils nont réfléchi fait servir magasin bricolage fallait souvent aller remorque fourgon donc quil préférable davoir place adaptées,negatif,0,stock
535,Perpignan,problème qualité porte fenêtres demande venir magasin final vendeur demande faire demande email,negatif,0,stock
541,St Martin D'Heres,employés désagréable cherchent écouter bien renseigner naccompagne client jusquau rayon,negatif,2,personnel
542,Villabè,si pouvais noter 0 ferai étoile beaucoup regret,negatif,2,personnel
550,Les Pennes Mirabeau,très grand magasin toujours mêmes problèmes manque personnel avoir renseignement manque dispo,negatif,2,personnel
554,Haubourdin,besoin coupe carreaux carreler vais chez casto englos car site indique 2 produits stock arrivé magasin rien stock rayon après 20 mn attente trouver vendeur perds patience vais chez leroy merlin 5mn chrono produit 5 moins cher,negatif,0,stock
555,St Marcel Les Valence,2 visites 6 semaines dintervalles 2 fois pris vi pneus parking malheureusement seuls entourage,negatif,0,stock
559,Nîmes,aujourdhui 26 mai jour férié horaires spécifiques 9h19h indiqué net alors pourquoi retrouve grille cour matériaux fermée 18h40 ar rien prix gasoil nest problème otez dun doute horaires indiqués bien horaires douverture fermeture client non lheure laquelle salariés quittent poste travail,negatif,0,stock
572,Aytre,déçu commande drive rdv prête quand jarrive annonce après dix minute dattente bien passé bureau avant vais magasin faire quelques achats attendant passe carte fidélité demande point dessus mannonce faut passer accueil savoir eh bien carte périmée demande a chaque fois sans signaler grave demande renouvellement répond aujourd hui car chef là grave revenez demain vais récupérer commande drive nouvelle attente dix minute malgré passage bureau retrait marchandises où a foule niveau clientèle faut attendre quelqu va venir enfin livre commande annonçant référence manquante introuvable magasin grave retourne magasin trouver solution rechange matériel manquant passage caisse demande si carte fidélité dommage dommage tout ça très pro quandmême,negatif,0,stock
590,Antibes,jachète parquet 23 lot tout commence poser quelques temp après maperçois autres lot contiennent lame défectueuses donc impossible emboîter autreset impossible finir pièces jessaye joindre sav impossible avoir téléphone donc numéro téléphone jai vu réponse dun commentaire là dit quil ny a plus stock propose tout redémonter rembourser ainsi retrouver nouveau sol travaux merci castorama vendre parquet défectueux avoir stock gérer problème comme celuici,negatif,0,stock
598,Haubourdin,retraits marchandises trop long pourtant seuls client,negatif,2,personnel
607,Nîmes,allé aujourdhui toute seule castorama récupérer sac ciment 35 kg sac colle 25 kg vendeur dit chargez toute seule femme lai chargé seul laide dun client dun autre vendeur a sympa arrivé caisse prix nétaient ceux mentionnés place coup jai tout laissé reparti évidemment leroy merlin cour matériaux mont tout chargé coffre bravo leroy merlin,negatif,0,stock
620,Villabè,bonjour jour ouverture magasin prévus 08h00 fois place ouverture prévus 09h00 super,negatif,0,stock
624,St Jacques De La Lande,moins moins produits trop long caisses difficile davoir conseils parfois,negatif,1,rayonnage
650,St Martin D'Heres,nie mieli pachołków drogowych szkoda ale polecam,negatif,0,stock
658,Vigneux Sur Seine,bonjour monsieur mal reçu personnel quand veut renseignement où lon cherche produit personnel rayon cherche toujours éviter client doit embêter ceci dure depuis quelques temp nest grave a autres enseigne dont ler mer,negatif,2,personnel
662,Dardilly,jamais joignable téléphone obliger déplacer systématiquement magasin avoir info stock commandes dommage,negatif,2,personnel
669,Orvault,dommage manque beaucoup vendeuse vendeurs avoir information,negatif,2,personnel
682,Nantes,impossible joindre téléphone jai dû laisser 40 coup sonner impossible joindre jai tenter différents choix service aprèsvente transporteurs carte castorama impossible joindre a fuir comme magasin,negatif,0,stock
697,La Seyne Sur Mer,très déçue drive première commande manquants alors article magasin deuxième commande idem article non conformes commande contact drive gentiment propose mettre article erronés côté nouveau ceux bons sketch sans compter aperçue après quun autre article nétait conforme commande pourtant bien compliqué drive censé faire gagner temp là ça a temp plus perdu ah aussi article plus chers drive conseil allez servir tout seul jamais mieux servi soi,negatif,0,stock
707,Chambery,entrepris gros chantier rénovation donc réalisé nombreuses commandes castorama na tout hauteur depuis début chantier gross difficultés récupérer différentes commandes jusquà dernière toujours réceptionnée déjà réglée devrait arriver début mai impossible récupérer car retrouve ticket caisse bien carte castorama précise quil na jamais fait mention nécessité présenter ticket bon commande règlement vraiment déçue,negatif,0,stock
709,Antibes,accueil déplorable lagent sécurité espace jardin,negatif,0,stock
711,Marseille,commande effectuée ligne matin stock magasin indiqué site 12 moins 2h après validation commande appel magasin indiquer commande annulée faute stock retourne jeter oeil castoramafr produit souhaité apparait encore toujours disponible,negatif,0,stock
728,Dunkerque,erreur commande plan travail quand arrive nouvelle commande après plusieurs jours plan état déplorable griffé côtés petit mot dexcuse jai dautres achats importants bien passés,negatif,0,stock
734,Gonfreville L'Orcher,produit catalogue mai manquant premier jour recherchions table pliante impossible premier jour rupture impossible commandé,negatif,0,stock
736,Bèziers,nai trouvé cherchais dommage,negatif,2,personnel
752,Le Mans,allé moquette extérieure vendeur super sympa très aimable avare renseignements,negatif,1,rayonnage
754,Le Cannet,vendeurs sympathique rien faire client jai limpression déranger question pépinière lambo manque deau bcp dorchidées plastique,negatif,2,personnel
756,Blagnac,aucun moyen contacter cela fait 4 fois suite jattends 5 mn a 30 mn avoir fuinalement ligne coupée,negatif,0,stock
766,Villemomble,1 vendeur 36 personnes lheure déjeunai autre moment si temp perdre cest magasin quil faut déconseille vivement,negatif,0,stock
778,Les Ulis,caissière mannonce 7370 donne donc espèces 7500 1x20 5x10 1x5 garde toujours monnaie machine a café bizarrement ticket 6370 disant espèces client 6370 rendu monnaie 0 si si bien rendu 130 hop 10 lbaba sais comment va faire ça caisse soir bon pire ça fera trop mieux assez hein bref payé carte pi alors vendre peinture 25l a 1316 litre pot 075l a 2520l vive lhonnêteté regrette énormément bricorama,negatif,0,stock
812,Kingersheim,caissier son trop lente discuter autre personne seulement 2 caisse ouvert décevant,negatif,2,personnel
821,Villemomble,7sur 7 tous outillage matériaux chantier,negatif,0,stock
829,Aytre,trop darticles manquants rayon non réapprovisionnés stock insuffisants attente trop longue passer caisse absence demployé cour matériaux,negatif,2,personnel
841,Haubourdin,visite jour tous coloris peinture mélangés personne rayon cest nettement mieux chez leroy merlin a photo décevant,negatif,0,stock
844,Saint Orens De Gameville,assez caisses douverte filé dattente désagréable,negatif,2,personnel
857,Mundolsheim,très mauvaise gestion stock produits cassés retirés stock disponibles donc toujours commandables ligne commandes alors annulées sans explication,negatif,0,stock
867,Nantes,expérience très mitigée premier achat magasin dun coté armée caissières attendent lautre rayon jardinage navez quune seule vendeuse court partout dun client râleur lautre a beau être semaine aussi printemps si si cest officiel donc nest prévisible davoir monde rayon final après 30 bonnes minute dattente tour arrive jai pu être guidée vers taille haie lair mal bon prix moins journée termine bien,negatif,0,stock
878,Bayonne,dommage avoir possibilité faire rentrer chien installé caddy,negatif,2,personnel
899,Saint Maximin,rien dire quoi a lattente fois caisse,negatif,0,stock
907,La Garde,jai acheté 2 parasol identiques 2 baleine détruite premier coup vent 2 h après,negatif,0,stock
954,Barentin,sav nul tondeuse acheter ya 1 mois déjà panne délai réparation mois demi remplacement remboursement honte plus jamais magasin,negatif,0,stock
964,Villabè,voulez acheter armoire dessing faut prendre rendezvous magasin rien lindique cest après avoir attendu vendeur savez retournez vers drive si tout disponible moment paiement ça lest plus fin compte ny til problème dorganisation,negatif,0,stock
972,Marsannay-La-Cote,rien viens presque toutes semaines dommage a castorama épinal vosges,negatif,2,personnel
973,Blagnac,passée hier cet enseigne blagnac métonne nombre demployés présents magasin cesse chercher quelquun renseigner chez leroy merlin doit avoir employé 2 rayon minimum a 1 employé 5 crayon cesse courir partout client finissent abandonner lorsquils attendent plus de15 minute tour vendeurs rayon voisins peuvent jamais renseigner ensuite caisse seulement 3 caisses ouvertes incroyable magasin aussi énorme bref a service client irai plus là ba mieux servi chez brico marché pauvre personnel,negatif,2,personnel
976,Saint Orens De Gameville,vais essayer dêtre factuel rayon vi deux personnes devant peuvent acheter article car vendeur explique quil na ça magasin arrive tour mexplique quil na produit rayon bout 5 minute finis trouver dit produit toujours présent rayon jentends nouveau vendeur expliquer client suivants quil ny a quil cherche fuir,negatif,1,rayonnage
998,Villemomble,jai passé commande retrait drive moment où javais pris rdv retrait commande gare borne jactive lien reçu portable numéro place là lagent sécurité sapproche véhicule demande sortir véhicule afin retirer article comptoir carcomme dit cest petite commande présente point retrait là commande nest prêteil faut attendre personnel aille préparer tout ça enfin commande arrive incomplète personne retourne magasin faire complément passe commande internet drive gagner temp ainsi méviter daller lintérieur magasin car jai problèmes santé possède carte prioritaire quoi sert service car jai perdu beaucoup temp obligé présenter guichet plus bien indiqué borne drive quil faut indiquer numéro place sortir véhiculevotre commande arrive incroyable,negatif,0,stock
1000,Bourgoin Jallieu,où vendeurs produits exposés aucune référence sait où trouver côté barbecue vrai bazard prenez exemple concurrents,negatif,1,rayonnage
1010,St Marcel Les Valence,système location véhicule utilitaire complètement a revoir lapplication nest intuitive aucun outils daccompagnement personnes sachant servir dun smartphone faites travail dun chargé daccueil dune agence location véhicule plus payer prestation client roi chez facilité client urgence si nest quelques salariés bienveillant encore faut quils disponible létat véhicules scandale porte non alignés structure interne déformé partie chassis ouvert côté cest plus limite prix proposé contrôle force lordre cest lamende assuré voir immo vehicule personne na idée létat parc locatif alors proposez a clientèle peux entendre quune enseigne comme castorama adopte stratégie changement afin maximiser salariés conseil clientèle limite trouve lorsque soustraité service location véhicule utilitaire qualité globale déplorable nest digne marque vraiment,negatif,0,stock
1024,Bourgoin Jallieu,beaucoup choix vendeur agréable cependant délai livraison vraiment revoir vendeur cétait trompé couleur plinthes dû passer nouvelle commande devait arriver cette semaine narriverons finalement avant juillet encore obligé daménager sans plinthes faire revenir carreleur après laménagement jespère moins geste commercial part quand récupérerai,negatif,0,stock
1033,Merignac,service retrait marchandise très mal organisé attendu 45 minute retirer simple article,negatif,0,stock
1034,Bron,matin 210522 jachète malle plastique caisse maperçois carton abîmé personne na vérifié carton lors mise rayon caissière met annotation ticket caisse malle grande 108 jenlève carton trouve morceau plastique malle endommagée ramène malle retour marchandise dit lon appelle vendeur propose avoir répond lon va faire venir responsable jai attendu 25 min nest jamais venu effectivement énervée 30 min faire rembourser produit vendu cassé aucune excuse prête dy retourner,negatif,0,stock
1036,Villenave D'Ornon,impossible joindre magasin téléphoneje vais devoir faire 50km peut être avoir solution arrivant jai acheté trois lot lame bois occultantes grillage premier lot lame cassent comme verre bien tordues va donc men manquermeme personnel plaind qualité service,negatif,0,stock
1045,Fresnes,magasin catastrophique stock correspond indiqué internet commande annulée 1h avant reprise avoir quelquun bout fil jen parle a croire quils débordés,negatif,0,stock
1049,L'Union,toujours manque vendeur lieu magasin manque denthousiasme semble triste toujours pareil pourtant magasin grand,negatif,2,personnel
1051,Nîmes,avoir personne téléphone faut attendre plus 15 minute plus horaires livraison respectés annoncé entre 8h36 10h36 a 11h15 toujours livreur aucun appel informer retard appel 12h transporteur chargé livraison final annoncer livraison ferait livraison reportée jeudi si fais livrer samedi cest quelasemaine travaille aucun respect envers client,negatif,0,stock
1065,Les Ulis,précise donne avis personne particulier virginie sav aidé radiateur panne réception commandé site internet na lâché morceau contacter constructeur difficilement joignable si devais laisser avis sav site internet casto là ça tout linverse ny quune seule étoile tellement déplorable radiateur panne dès déballage après 7 8 appels sav pendant 1 mois ny a absolument aucune suite promesses données chaque fois heureusement virginie là,negatif,0,stock
1075,St Marcel Les Valence,beaucoup choix magasin trop petit dernière fois jy allé tellement monde lon pratiquement cru métro bondé paris,negatif,2,personnel
1084,Pierrelaye,super boutique vendeurs tous plus moins niveau compétence bricolage correct disponible ca besoin point négatif cette enseigne cest jy laisse beaucoup trop sou,negatif,2,personnel
1106,Givors,presque tout quil faut avant jamais facile trouver conseillers nest franchement plus cétait,negatif,1,rayonnage
1111,Roissy En France,belle brochette incompétents 1h tenter trouver balancoire disant disponible bout compte trouver mot excuse tout monde prend pause alors 15personnes attendent personnel sans aucun professionnalisme étoile car impossible mettre aucune fuyez castorama,negatif,1,rayonnage
1122,Aubiere,très déçu personne a reçu rayon dressing a montré total désintérêt donc party chez concurrent a bien guidé ikea,negatif,2,personnel
1140,Marseille,service préparation commande catastrophique 2 commandes livraisons première manque plus gros article objet livraison nai jamais réussi avoirs tél cest livreuse a dû organiser prochaine livraison aujourdhui 4 références commandés 1 seule réf bonne 2 bons dernière réf manquantes bien sûr personne répond cest juste hallucinant,negatif,0,stock
1142,Villenave D'Ornon,seule fois où my rends chercher matériel extérieur ny personne conseiller changerai peutêtre avis lors dune prochaine visite,negatif,0,stock
1150,Villenave D'Ornon,cette note car catastrophe achète produit compléter rayon moitié vide faut revenir très souvent alors direction leroy merlin très intéressant quand habite bègles si a pont traverser,negatif,0,stock
1157,Rillieux La Pape,a fuir vendeur jean pierre rayon menuiserie extrêmement désagréable na envie travailler voulions acheter porte a reçu comme chiens évidemment souhaitez parler responsable signaler comportement vendeur amal responsable très sympathique a signifié quil recardé reviendrons plus castorama rillieux,negatif,0,stock
1159,Jouy Aux Arches,simple avoir réponses jamais personne renseigner,negatif,2,personnel
1165,Nîmes,manque important matériel dommage faut toujours courir après vendeur,negatif,2,personnel
1168,Niort,très déçu laccueil caisse heureusement personnel rayon plus aimable,negatif,2,personnel
1174,Nîmes,bornes recharge,negatif,2,personnel
1177,Bourgoin Jallieu,castorama voleur commandé internet chaque fois après paiement a bug 2 fois cette semaine entendre service client dire comprend faut aller magasin quand arrive magasin mannonce livraison fait sou 4 jours 2 mois comme mi avant site apres avoir fait souscrire carte fidélité 990 maintenant veulent annuler rembourser vrais escroc rien contre employés ni rien contre enseigne apres etonne gen commandent chez geants internet,negatif,0,stock
1183,L'Union,service très mal a attendu 15 minute vendeur lon demande pièce précise meubles personne nest venue cest arrivé deux fois,negatif,0,stock
1188,Fleury Sur Orne,très beau magasin bien achalandé personnel disponible a lécoute seul bémol cour matériaux accès très compliqué place voie circulation trop étroite personnel disponible obligé descendre solives composite a main rack bref donne trois étoiles,negatif,2,personnel
1189,Les Pennes Mirabeau,service après vente inexistant honteux,negatif,0,stock
1196,Chalon Sur Saone,très mécontente avoir entendue dautant plus pense avoir très patiente car envoyé dun bout lautre magasin quau final personne rayon nétait responsable dise commercial karcher remboursera nettoyeur sol fc5 envoyé déjà 2 fois réparation karcher envoyé magasin où jai acheté lappareil disant cest quil faut voir castorama dit va appeler commercial karcher bref tourne rond rembourser réfléchirai deux fois avant retourner chez castorama avant dacheter produit karcher,negatif,0,stock
1200,Aytre,peut commander internet si veut avoir 10 réduction venir magasin faire imprimer bon commander revenir chercher produit cherchez lerreur tant environnementale commerciale dailleurs castorama peine sadapter monde daujourdhui quand doi faire 80km rendre magasin cest coûteux fatigant,negatif,0,stock
1219,Haubourdin,produit disponible site internet bien évidemment disponible magasin accueil vendeurs très désagréables magasin,negatif,0,stock
1238,St Clement De Riviere,personnel désagréable impression déranger quand pose question fuir,negatif,2,personnel
1259,Melun,souvent cherche vendeur rayon dommage,negatif,2,personnel
1261,Claye Souilly,seul conseiller tout rayon jardinerie trop dattente avoir simple conseil,negatif,2,personnel
1264,Brest,fier stock mauvaises expériences magasin jai fait 60 km venir chercher porte placard refus men vendre alors quil 6 stock car disant réservé geste commercial rien tout,negatif,0,stock
1278,Saint Orens De Gameville,nettement mieux conseillers là cachent plus bravo service client reprend place,negatif,0,stock
1285,Lattes,demande recontacter service matériaux 15h00 bout 1 heure 15 globale dattente toujours personne téléphone jattends plombes standard service concerné répond retransfert standard décroche place téléphone pochejai attendu 25mn comme ça sans avoir personne judicieux revoir process quand lun client doit appeler demande cest inadmissible non professionnel,negatif,0,stock
1287,Bèziers,client depuis plus 15 ansmauvaise surprise aujourdhui parc matériaux après 45 minute dattente palette pave autobloquant jaune cariste demande patienter encore fini commandes soccupera après puis met a ranger dépotle deuxième cariste répond nest secteurje parti sans marchandiseje vais acheter ailleurs,negatif,0,stock
1292,Saint Orens De Gameville,achat carrelage stock payé récupéré plus tard faute temp moment prendre 2 jours plus tard retrait marchandise rien nétait prêt jai dû retourner fin journée cest vraiment professionnel surtout nhabitant côté,negatif,0,stock
1312,Les Ulis,inadmissiblepersonne répond 1 honte époque,negatif,0,stock
1320,Villemomble,aucun professionnalisme mr cheveux gris désagréable devrait aller faire formation relation clientèle jai acheté carreaux faire faiznce paquet 4 carreaux différents jétais lurgence jai utilisé carreaux celui ci a refusé faire geste tout simplement dis racheter paquet alors si paquet complet naurais racheter autre deconseille fortement mr soidisant responsable changez trvail laura palmont,negatif,0,stock
1325,Coignieres,очень некультурные бубылды я в шоке дядя отстой фу а еще за 140 мегаящиков я не успел купить,negatif,0,stock
1341,Portet Sur Garonne,difficile dy arriver car travaux partout route alambiquées parking moche petit a part ça magasin bien,negatif,1,rayonnage
1349,Dardilly,venu acheter pièces détachées réparer piscine hors sol bien déçuquelques tuyaux traînent carton moitié éventrésvannes autres raccords cassésles aspirateurs piscines traînent poussière absolument digne clientèleça donne tout envie dacheter cohérence entre site internet magasin niveau stock pièces dommagejai perdu temp coup reparti rien acheter améliorer durgence si magasin veut tenir,negatif,0,stock
1351,Vélizy Villacoublay,retrait 2 h renommer retrait 6h pire préfecture,negatif,0,stock
1353,Jouy Aux Arches,trop déçu prestation dune employés magasin a complètement fuit rayon jardin lundi matin alors demandais renseignements clôture,negatif,2,personnel
1362,Merignac,réservation dune commande retrait drive arrivée lendemain rendezvous signale comme demander lien seul drive 30mn dattentedu coup vais râler dit train charger derrière 5mn après mec arrive signalent vais moccuper commande voilà quoi dire plus,negatif,0,stock
1383,Melesse,déçu personne renseigner dommage personnel tous occupé jamais bon rayon decevant,negatif,2,personnel
1386,Bayonne,nul personnel tout impliqué discutant entre pendant file dattente sallongeait,negatif,2,personnel
1401,St Martin D'Heres,bonjour jaime beaucoup magasin cest vrai cest très compliquer davoir vendeur quasiment chaque visite faut attendre longtemps après avoir demandé caisse cherchions tasseau tous salle états dommage,negatif,2,personnel
1403,Haubourdin,produits exposés non disponible vendeurs nétait sympa dommage,negatif,2,personnel
1419,Niort,après avoir acheté volume 60 sac granulés jen payé 7 trop trop tard puisque jhabite 30mns dommage caissière sache compté après tout 2 3 comptes dis moyen si reviens prochaine fois ferai confiance compterai,negatif,2,personnel
